Jihočeský kraj	49	4421
Jihomoravský kraj	44	6428
Karlovarský kraj	12	2010
Královéhradecký kraj	35	3728
Liberecký kraj	21	2722
Moravskoslezský kraj	51	9167
Olomoucký kraj	35	4402
Pardubický kraj	33	3433
Plzeňský kraj	38	3257
Středočeský kraj	86	10153
Ústecký kraj	40	5860
Vysočina	45	3753
Zlínský kraj	25	4210
České Budějovice	4	759
Brno	15	3115
Karlovy Vary	2	392
Hradec Králové	4	755
Liberec	4	802
Ostrava	4	878
Olomouc	4	814
Pardubice	4	711
Plzeň	8	1332
Praha	46	9218
Ústí nad Labem	4	744
Jihlava	2	412
Zlín	3	624
