Jihočeský kraj	487	442142
Jihomoravský kraj	440	642811
Karlovarský kraj	124	200971
Královéhradecký kraj	350	372825
Liberecký kraj	208	272209
Moravskoslezský kraj	510	916696
Olomoucký kraj	349	440221
Pardubický kraj	326	343291
Plzeňský kraj	376	325727
Středočeský kraj	857	1015308
Ústecký kraj	395	585952
Vysočina	450	375326
Zlínský kraj	254	421004
České Budějovice	38	75852
Brno	146	311508
Karlovy Vary	21	39217
Hradec Králové	42	75510
Liberec	36	80194
Ostrava	40	87837
Olomouc	37	81375
Pardubice	38	71070
Plzeň	77	133225
Praha	459	921819
Ústí nad Labem	40	74405
Jihlava	24	41235
Zlín	31	62365
